-183.800, 80.200, 0.000,  0.000
-183.800, 80.200, 0.000,  0.016
-183.800, 80.200, 0.000,  0.049
-183.800, 80.200, 0.000,  0.082
-183.800, 80.200, -0.012,  0.115
-183.800, 80.199, 0.026,  0.148
-183.800, 80.198, 0.023,  0.181
-183.800, 80.197, 0.025,  0.214
-183.799, 80.194, 0.118,  0.247
-183.796, 80.186, 0.249,  0.280
-183.791, 80.174, 0.368,  0.313
-183.783, 80.157, 0.505,  0.346
-183.772, 80.138, 0.567,  0.379
-183.758, 80.117, 0.661,  0.412
-183.740, 80.091, 0.815,  0.445
-183.719, 80.062, 0.958,  0.478
-183.693, 80.027, 1.110,  0.511
-183.663, 79.989, 1.259,  0.544
-183.629, 79.946, 1.405,  0.577
-183.591, 79.901, 1.548,  0.610
-183.548, 79.852, 1.690,  0.643
-183.501, 79.801, 1.830,  0.676
-183.450, 79.747, 1.970,  0.709
-183.393, 79.691, 2.109,  0.742
-183.331, 79.633, 2.248,  0.775
-183.263, 79.574, 2.386,  0.808
-183.191, 79.514, 2.521,  0.841
-183.112, 79.454, 2.648,  0.874
-183.029, 79.394, 2.759,  0.907
-182.940, 79.336, 2.842,  0.940
-182.849, 79.280, 2.892,  0.973
-182.754, 79.228, 2.900,  1.006
-182.658, 79.181, 2.883,  1.039
-182.562, 79.135, 2.912,  1.072
-182.467, 79.088, 2.982,  1.105
-182.373, 79.037, 3.049,  1.138
-182.284, 78.982, 3.086,  1.171
-182.199, 78.922, 3.084,  1.204
-182.120, 78.857, 3.043,  1.237
-182.048, 78.790, 2.965,  1.270
-181.982, 78.721, 2.868,  1.303
-181.922, 78.651, 2.760,  1.336
-181.868, 78.581, 2.644,  1.369
-181.819, 78.511, 2.523,  1.402
-181.776, 78.442, 2.409,  1.435
-181.736, 78.375, 2.307,  1.468
-181.700, 78.309, 2.213,  1.501
-181.666, 78.244, 2.125,  1.534
-181.635, 78.182, 2.042,  1.567
-181.606, 78.121, 1.964,  1.600
-181.580, 78.061, 1.890,  1.633
-181.555, 78.004, 1.820,  1.666
-181.531, 77.948, 1.753,  1.699
-181.509, 77.894, 1.689,  1.732
